id,date,home_team,home_team_score,visit_team,visit_team_score
400950314,2017-04-16,Boston Celtics,102,Chicago,106
400950321,2017-04-18,Boston Celtics,97,Chicago,111
400950323,2017-04-21,Chicago,87,Boston Celtics,104
400950325,2017-04-23,Chicago,95,Boston Celtics,104
400950387,2017-04-26,Boston Celtics,108,Chicago,97
400950389,2017-04-28,Chicago,83,Boston Celtics,105
400952526,2017-04-30,Boston Celtics,123,Washington,111
400952527,2017-05-02,Boston Celtics,129,Washington,119
400952528,2017-05-04,Washington,116,Boston Celtics,89
400952529,2017-05-07,Washington,121,Boston Celtics,102
400952530,2017-05-10,Boston Celtics,123,Washington,101
400952531,2017-05-12,Washington,92,Boston Celtics,91
400952532,2017-05-15,Boston Celtics,115,Washington,105
400953694,2017-05-17,Boston Celtics,104,Cleveland,117
400953695,2017-05-19,Boston Celtics,86,Cleveland,130
400953696,2017-05-21,Cleveland,108,Boston Celtics,111
400953697,2017-05-23,Cleveland,112,Boston Celtics,99
400953698,2017-05-25,Boston Celtics,102,Cleveland,135
400899380,2017-10-26,Boston,122,Brooklyn Nets,117
400899452,2017-10-28,Brooklyn Nets,103,Indiana,94
400899481,2017-10-29,Milwaukee,110,Brooklyn Nets,108
400899493,2017-10-31,Brooklyn Nets,88,Chicago,118
400899507,2017-11-02,Brooklyn Nets,109,Detroit,101
400899522,2017-11-04,Brooklyn Nets,95,Charlotte,99
400899551,2017-11-08,Brooklyn Nets,119,Minnesota,110
400899556,2017-11-09,NY Knicks,110,Brooklyn Nets,96
400899589,2017-11-12,Phoenix,104,Brooklyn Nets,122
400899602,2017-11-14,LA,127,Brooklyn Nets,95
400899607,2017-11-15,Los Angeles,125,Brooklyn Nets,118
400899628,2017-11-18,Oklahoma City,124,Brooklyn Nets,105
400899644,2017-11-20,Brooklyn Nets,109,Portland,129
400899667,2017-11-23,Brooklyn Nets,92,Boston,111
400899684,2017-11-25,Indiana,118,Brooklyn Nets,97
400899697,2017-11-27,Brooklyn Nets,105,Sacramento,122
400899711,2017-11-29,Brooklyn Nets,127,LA,122
400899367,2017-12-01,Brooklyn Nets,93,Milwaukee,111
400899733,2017-12-03,Milwaukee,112,Brooklyn Nets,103
400899748,2017-12-05,Brooklyn Nets,113,Washington,118
400899765,2017-12-07,Brooklyn Nets,116,Denver,111
400899795,2017-12-10,San Antonio,130,Brooklyn Nets,101
400899806,2017-12-12,Houston,122,Brooklyn Nets,118
400899820,2017-12-14,Brooklyn Nets,107,Los Angeles,97
400899832,2017-12-16,Orlando,118,Brooklyn Nets,111
400899850,2017-12-18,Philadelphia,108,Brooklyn Nets,107
400899862,2017-12-20,Toronto,116,Brooklyn Nets,104
400899879,2017-12-22,Brooklyn Nets,101,Golden State,117
400899886,2017-12-23,Cleveland,119,Brooklyn Nets,99
400899905,2017-12-26,Brooklyn Nets,120,Charlotte,118
400899922,2017-12-28,Chicago,101,Brooklyn Nets,99
400899935,2017-12-30,Washington,118,Brooklyn Nets,95
400899413,2017-01-02,Brooklyn Nets,89,Utah,101
400899957,2017-01-05,Indiana,121,Brooklyn Nets,109
400899968,2017-01-06,Brooklyn Nets,108,Cleveland,116
400899981,2017-01-08,Brooklyn Nets,95,Philadelphia,105
400899994,2017-01-10,Brooklyn Nets,97,Atlanta,117
400900007,2017-01-12,Brooklyn Nets,95,New Orleans,104
400900013,2017-01-13,Toronto,132,Brooklyn Nets,113
400900030,2017-01-15,Brooklyn Nets,112,Houston,137
400900043,2017-01-17,Brooklyn Nets,109,Toronto,119
400900066,2017-01-20,New Orleans,114,Brooklyn Nets,143
400900073,2017-01-21,Charlotte,112,Brooklyn Nets,105
400900087,2017-01-23,Brooklyn Nets,86,San Antonio,112
400900103,2017-01-25,Brooklyn Nets,106,Miami,109
400900116,2017-01-27,Cleveland,124,Brooklyn Nets,116
400900131,2017-01-28,Minnesota,129,Brooklyn Nets,109
400900140,2017-01-30,Miami,104,Brooklyn Nets,96
400899394,2017-02-01,Brooklyn Nets,90,NY Knicks,95
400900152,2017-02-03,Brooklyn Nets,97,Indiana,106
400900170,2017-02-05,Brooklyn Nets,95,Toronto,103
400900184,2017-02-07,Charlotte,111,Brooklyn Nets,107
400900189,2017-02-08,Brooklyn Nets,110,Washington,114
400900204,2017-02-10,Brooklyn Nets,99,Miami,108
400900227,2017-02-13,Brooklyn Nets,103,Memphis,112
400900244,2017-02-15,Brooklyn Nets,125,Milwaukee,129
400900270,2017-02-24,Denver,129,Brooklyn Nets,109
400900279,2017-02-25,Golden State,112,Brooklyn Nets,95
400899448,2017-03-01,Sacramento,100,Brooklyn Nets,109
400900310,2017-03-03,Utah,112,Brooklyn Nets,97
400900321,2017-03-04,Portland,130,Brooklyn Nets,116
400900334,2017-03-06,Memphis,109,Brooklyn Nets,122
400900345,2017-03-08,Atlanta,110,Brooklyn Nets,105
400900366,2017-03-10,Dallas,105,Brooklyn Nets,96
400900381,2017-03-12,Brooklyn Nets,120,NY Knicks,112
400900395,2017-03-14,Brooklyn Nets,104,Oklahoma City,122
400900411,2017-03-16,NY Knicks,110,Brooklyn Nets,121
400900417,2017-03-17,Brooklyn Nets,95,Boston,98
400900431,2017-03-19,Brooklyn Nets,104,Dallas,111
400900447,2017-03-21,Brooklyn Nets,98,Detroit,96
400900462,2017-03-23,Brooklyn Nets,126,Phoenix,98
400900467,2017-03-24,Washington,129,Brooklyn Nets,108
400900483,2017-03-26,Atlanta,92,Brooklyn Nets,107
400900500,2017-03-28,Brooklyn Nets,101,Philadelphia,106
400900516,2017-03-30,Detroit,90,Brooklyn Nets,89
400899396,2017-04-01,Brooklyn Nets,121,Orlando,111
400899441,2017-04-02,Brooklyn Nets,91,Atlanta,82
400900532,2017-04-04,Philadelphia,118,Brooklyn Nets,141
400900552,2017-04-06,Orlando,115,Brooklyn Nets,107
400900566,2017-04-08,Brooklyn Nets,107,Chicago,106
400900582,2017-04-10,Boston,114,Brooklyn Nets,105
400900600,2017-04-12,Chicago,112,Brooklyn Nets,73
400899375,2017-10-25,Cleveland,117,New York Knicks,88
400899478,2017-10-29,New York Knicks,111,Memphis,104
400899500,2017-11-01,Detroit,102,New York Knicks,89
400899508,2017-11-02,New York Knicks,99,Houston,118
400899523,2017-11-04,Chicago,104,New York Knicks,117
400899537,2017-11-06,New York Knicks,109,Utah,114
400899556,2017-11-09,New York Knicks,110,Brooklyn,96
400899575,2017-11-11,Boston,115,New York Knicks,87
400899581,2017-11-12,Toronto,118,New York Knicks,107
400899596,2017-11-14,New York Knicks,93,Dallas,77
400899612,2017-11-16,New York Knicks,105,Detroit,102
400899619,2017-11-17,Washington,119,New York Knicks,112
400899643,2017-11-20,New York Knicks,104,Atlanta,94
400899658,2017-11-22,New York Knicks,107,Portland,103
400899678,2017-11-25,New York Knicks,113,Charlotte,111
400899691,2017-11-26,Charlotte,107,New York Knicks,102
