,id,Date,player,MIN,FG,FT,3PT,REB,AST,STL,BLK,TO,PF,PTS,3PTsMade,3PTsAttempted,FTsMade,FTsAttempted,FGsMade,FGsAttempted
0,400827892,2016-10-28,Hollis Thompson,36,3-14,0-0,3-9,3,3,0,0,2,6,9,3.0,9.0,0.0,0.0,3.0,14.0
1,400827892,2016-10-28,Jakarr Sampson,27,5-9,3-3,0-1,4,0,1,0,3,1,13,0.0,1.0,3.0,3.0,5.0,9.0
2,400827892,2016-10-28,Nerlens Noel,35,5-13,4-7,0-0,13,2,3,2,3,4,14,0.0,0.0,4.0,7.0,5.0,13.0
3,400827892,2016-10-28,Jahlil Okafor,38,10-16,6-6,0-0,7,1,1,2,8,4,26,0.0,0.0,6.0,6.0,10.0,16.0
4,400827892,2016-10-28,Isaiah Canaan,38,6-14,2-2,4-10,7,2,1,0,3,0,18,4.0,10.0,2.0,2.0,6.0,14.0
5,400827892,2016-10-28,Richaun Holmes,6,1-3,0-0,0-0,3,0,0,1,0,1,2,0.0,0.0,0.0,0.0,1.0,3.0
6,400827892,2016-10-28,Christian Wood,6,0-2,0-0,0-0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
7,400827892,2016-10-28,Jerami Grant,27,2-7,5-5,0-1,6,0,2,0,0,2,9,0.0,1.0,5.0,5.0,2.0,7.0
8,400827892,2016-10-28,Tj Mcconnell,28,2-5,0-0,0-1,1,4,3,1,3,4,4,0.0,1.0,0.0,0.0,2.0,5.0
9,400827892,2016-10-28,David Lee,22,2-8,4-4,0-0,5,5,0,1,2,3,8,0.0,0.0,4.0,4.0,2.0,8.0
10,400827892,2016-10-28,Jae Crowder,31,4-7,4-4,2-4,6,3,2,0,3,3,14,2.0,4.0,4.0,4.0,4.0,7.0
11,400827892,2016-10-28,Tyler Zeller,11,2-4,2-2,0-0,1,0,0,1,1,3,6,0.0,0.0,2.0,2.0,2.0,4.0
12,400827892,2016-10-28,Marcus Smart,32,3-8,4-4,3-6,2,5,2,1,1,3,13,3.0,6.0,4.0,4.0,3.0,8.0
13,400827892,2016-10-28,Avery Bradley,33,2-6,0-0,0-1,1,2,2,0,2,2,4,0.0,1.0,0.0,0.0,2.0,6.0
14,400827892,2016-10-28,Amir Johnson,20,6-11,2-2,1-2,7,1,0,2,1,3,15,1.0,2.0,2.0,2.0,6.0,11.0
15,400827892,2016-10-28,Jonas Jerebko,15,2-7,0-0,1-2,3,3,0,1,0,1,5,1.0,2.0,0.0,0.0,2.0,7.0
16,400827892,2016-10-28,Jordan Mickey,2,0-0,2-2,0-0,2,1,0,0,0,1,2,0.0,0.0,2.0,2.0,0.0,0.0
17,400827892,2016-10-28,Jared Sullinger,21,6-8,0-0,0-2,7,2,1,1,1,3,12,0.0,2.0,0.0,0.0,6.0,8.0
18,400827892,2016-10-28,Terry Rozier,2,0-2,0-0,0-0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
19,400827892,2016-10-28,Isaiah Thomas,29,10-19,6-7,1-6,2,7,3,0,3,1,27,1.0,6.0,6.0,7.0,10.0,19.0
20,400827892,2016-10-28,Evan Turner,22,2-5,2-2,0-1,4,2,0,0,3,0,6,0.0,1.0,2.0,2.0,2.0,5.0
21,400827911,2016-10-30,Luis Scola,22,4-9,0-0,1-1,9,1,1,0,2,2,9,1.0,1.0,0.0,0.0,4.0,9.0
22,400827911,2016-10-30,Demarre Carroll,35,8-16,1-2,4-7,5,2,2,0,4,3,21,4.0,7.0,1.0,2.0,8.0,16.0
23,400827911,2016-10-30,Jonas Valanciunas,23,2-6,2-2,0-0,10,2,0,0,2,4,6,0.0,0.0,2.0,2.0,2.0,6.0
24,400827911,2016-10-30,Kyle Lowry,34,3-11,8-10,0-1,7,9,3,2,3,4,14,0.0,1.0,8.0,10.0,3.0,11.0
25,400827911,2016-10-30,Demar Derozan,35,5-15,12-14,1-4,7,6,2,0,3,4,23,1.0,4.0,12.0,14.0,5.0,15.0
26,400827911,2016-10-30,Anthony Bennett,3,0-0,0-0,0-0,3,0,1,0,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0
27,400827911,2016-10-30,James Johnson,8,0-0,0-0,0-0,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
28,400827911,2016-10-30,Patrick Patterson,25,2-6,2-2,2-5,0,0,1,0,1,3,8,2.0,5.0,2.0,2.0,2.0,6.0
29,400827911,2016-10-30,Bismack Biyombo,16,1-2,2-2,0-0,6,0,0,1,1,5,4,0.0,0.0,2.0,2.0,1.0,2.0
30,400827911,2016-10-30,Cory Joseph,18,3-5,0-0,1-2,1,2,1,0,1,4,7,1.0,2.0,0.0,0.0,3.0,5.0
31,400827911,2016-10-30,Terrence Ross,21,8-12,3-3,2-6,4,0,0,0,2,0,21,2.0,6.0,3.0,3.0,8.0,12.0
32,400827911,2016-10-30,David Lee,17,2-5,2-2,0-0,6,2,1,0,1,2,6,0.0,0.0,2.0,2.0,2.0,5.0
33,400827911,2016-10-30,Jae Crowder,34,1-6,5-6,0-2,4,4,3,1,2,3,7,0.0,2.0,5.0,6.0,1.0,6.0
34,400827911,2016-10-30,Tyler Zeller,16,4-8,2-2,0-0,0,1,0,0,0,3,10,0.0,0.0,2.0,2.0,4.0,8.0
35,400827911,2016-10-30,Marcus Smart,28,2-11,1-2,1-5,3,2,1,0,0,3,6,1.0,5.0,1.0,2.0,2.0,11.0
36,400827911,2016-10-30,Avery Bradley,30,4-11,2-2,3-7,5,3,1,1,2,3,13,3.0,7.0,2.0,2.0,4.0,11.0
37,400827911,2016-10-30,Amir Johnson,19,3-3,4-6,1-1,8,2,2,0,3,1,11,1.0,1.0,4.0,6.0,3.0,3.0
38,400827911,2016-10-30,Jonas Jerebko,8,0-1,2-2,0-1,2,0,0,0,1,0,2,0.0,1.0,2.0,2.0,0.0,1.0
39,400827911,2016-10-30,Kelly Olynyk,17,4-10,2-3,1-5,2,0,2,0,0,0,11,1.0,5.0,2.0,3.0,4.0,10.0
40,400827911,2016-10-30,Jared Sullinger,14,3-3,0-1,0-0,3,1,1,1,1,6,6,0.0,0.0,0.0,1.0,3.0,3.0
41,400827911,2016-10-30,Isaiah Thomas,29,7-16,10-11,1-4,1,7,2,0,3,5,25,1.0,4.0,10.0,11.0,7.0,16.0
42,400827911,2016-10-30,Evan Turner,28,2-11,2-4,0-1,4,1,1,0,4,2,6,0.0,1.0,2.0,4.0,2.0,11.0
43,400827927,2016-11-01,Lamarcus Aldridge,35,8-18,8-10,0-1,14,5,1,1,2,1,24,0.0,1.0,8.0,10.0,8.0,18.0
44,400827927,2016-11-01,Kawhi Leonard,34,8-18,2-2,1-3,5,2,2,1,2,2,19,1.0,3.0,2.0,2.0,8.0,18.0
45,400827927,2016-11-01,Tim Duncan,29,3-9,1-2,0-1,9,5,0,1,4,4,7,0.0,1.0,1.0,2.0,3.0,9.0
46,400827927,2016-11-01,Tony Parker,27,3-6,0-0,0-0,4,1,0,0,3,2,6,0.0,0.0,0.0,0.0,3.0,6.0
47,400827927,2016-11-01,Danny Green,29,2-10,0-2,0-5,6,1,4,1,0,1,4,0.0,5.0,0.0,2.0,2.0,10.0
48,400827927,2016-11-01,David West,9,1-1,0-0,0-0,2,0,0,0,2,2,2,0.0,0.0,0.0,0.0,1.0,1.0
49,400827927,2016-11-01,Kyle Anderson,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
