,id,Date,player,MIN,FG,3PT,FT,REB,AST,STL,BLK,TO,PF,PTS,3PTsMade,3PTsAttempted,FTsMade,FTsAttempted,FGsMade,FGsAttempted
0,400899380,2017-10-26,T. Booker,24,4-5,0-0,0-1,7,5,3,0,1,0,8,0.0,0.0,0.0,1.0,4.0,5.0
1,400899380,2017-10-26,B. Bogdanovic,23,9-17,0-0,3-8,5,0,1,0,2,2,21,0.0,0.0,3.0,8.0,9.0,17.0
2,400899380,2017-10-26,R. Hollis-Jefferson,24,1-3,3-4,0-1,2,0,1,0,1,1,5,3.0,4.0,0.0,1.0,1.0,3.0
3,400899380,2017-10-26,B. Lopez,21,1-7,4-4,1-2,5,0,0,0,2,1,7,4.0,4.0,1.0,2.0,1.0,7.0
4,400899380,2017-10-26,J. Lin,28,6-14,4-5,2-5,3,3,0,1,2,1,18,4.0,5.0,2.0,5.0,6.0,14.0
5,400899380,2017-10-26,C. McCullough,4,1-2,0-0,0-0,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0,2.0
6,400899380,2017-10-26,L. Scola,22,3-8,1-2,1-5,1,3,0,0,2,3,8,1.0,2.0,1.0,5.0,3.0,8.0
7,400899380,2017-10-26,J. Hamilton,25,7-12,2-3,3-6,10,2,0,0,1,4,19,2.0,3.0,3.0,6.0,7.0,12.0
8,400899380,2017-10-26,G. Vasquez,18,0-1,0-0,0-1,0,3,1,0,0,3,0,0.0,0.0,0.0,1.0,0.0,1.0
9,400899380,2017-10-26,I. Whitehead,4,0-0,0-0,0-0,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
10,400899380,2017-10-26,S. Kilpatrick,22,5-13,2-2,1-6,4,2,0,0,2,0,13,2.0,2.0,1.0,6.0,5.0,13.0
11,400899380,2017-10-26,J. Harris,25,6-15,0-0,4-9,4,3,2,2,3,3,16,0.0,0.0,4.0,9.0,6.0,15.0
12,400899380,2017-10-26,J. Crowder,29,9-15,0-0,3-8,5,2,2,1,2,2,21,0.0,0.0,3.0,8.0,9.0,15.0
13,400899380,2017-10-26,A. Johnson,20,4-6,0-1,0-0,7,2,1,0,4,2,8,0.0,1.0,0.0,0.0,4.0,6.0
14,400899380,2017-10-26,A. Horford,27,5-8,0-0,1-4,5,6,0,4,2,2,11,0.0,0.0,1.0,4.0,5.0,8.0
15,400899380,2017-10-26,I. Thomas,33,7-14,9-9,2-7,6,8,2,0,3,3,25,9.0,9.0,2.0,7.0,7.0,14.0
16,400899380,2017-10-26,A. Bradley,34,7-15,0-0,3-4,9,6,1,0,3,4,17,0.0,0.0,3.0,4.0,7.0,15.0
17,400899380,2017-10-26,J. Jerebko,19,1-8,2-2,0-5,1,3,4,0,1,1,4,2.0,2.0,0.0,5.0,1.0,8.0
18,400899380,2017-10-26,T. Zeller,16,6-7,1-2,0-0,4,3,0,2,1,2,13,1.0,2.0,0.0,0.0,6.0,7.0
19,400899380,2017-10-26,T. Rozier,28,2-5,0-0,1-2,3,3,2,0,1,2,5,0.0,0.0,1.0,2.0,2.0,5.0
20,400899380,2017-10-26,G. Green,15,4-7,0-0,1-2,5,2,0,0,1,1,9,0.0,0.0,1.0,2.0,4.0,7.0
21,400899380,2017-10-26,J. Brown,19,3-4,3-4,0-0,2,1,1,2,1,1,9,3.0,4.0,0.0,0.0,3.0,4.0
22,400899422,2017-10-27,J. Crowder,35,4-6,5-5,1-2,6,1,2,0,1,4,14,5.0,5.0,1.0,2.0,4.0,6.0
23,400899422,2017-10-27,A. Johnson,16,2-4,1-2,0-0,1,1,0,1,0,3,5,1.0,2.0,0.0,0.0,2.0,4.0
24,400899422,2017-10-27,A. Horford,30,4-9,3-4,0-2,7,5,0,1,1,5,11,3.0,4.0,0.0,2.0,4.0,9.0
25,400899422,2017-10-27,I. Thomas,35,10-15,2-6,3-7,3,4,2,0,5,2,25,2.0,6.0,3.0,7.0,10.0,15.0
26,400899422,2017-10-27,A. Bradley,41,6-12,3-4,1-3,6,5,0,1,2,2,16,3.0,4.0,1.0,3.0,6.0,12.0
27,400899422,2017-10-27,J. Jerebko,10,1-3,1-2,1-1,1,0,0,0,0,2,4,1.0,2.0,1.0,1.0,1.0,3.0
28,400899422,2017-10-27,T. Zeller,20,3-9,0-1,0-0,5,1,0,2,1,3,6,0.0,1.0,0.0,0.0,3.0,9.0
29,400899422,2017-10-27,T. Rozier,23,3-7,0-0,2-5,4,4,2,0,0,1,8,0.0,0.0,2.0,5.0,3.0,7.0
30,400899422,2017-10-27,G. Green,10,1-4,0-0,0-2,2,0,0,1,0,0,2,0.0,0.0,0.0,2.0,1.0,4.0
31,400899422,2017-10-27,J. Brown,20,4-7,0-0,0-1,1,1,0,0,1,3,8,0.0,0.0,0.0,1.0,4.0,7.0
32,400899422,2017-10-27,T. Gibson,28,8-13,2-2,0-0,10,1,0,0,2,2,18,2.0,2.0,0.0,0.0,8.0,13.0
33,400899422,2017-10-27,R. Lopez,27,3-8,2-4,0-0,8,1,0,0,1,2,8,2.0,4.0,0.0,0.0,3.0,8.0
34,400899422,2017-10-27,R. Rondo,33,1-9,1-2,1-2,6,9,2,0,2,1,4,1.0,2.0,1.0,2.0,1.0,9.0
35,400899422,2017-10-27,D. Wade,32,7-18,4-4,4-6,6,5,0,1,3,4,22,4.0,4.0,4.0,6.0,7.0,18.0
36,400899422,2017-10-27,J. Butler,37,6-17,8-12,4-6,7,3,2,0,0,2,24,8.0,12.0,4.0,6.0,6.0,17.0
